EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4313.846191,4255.384766,4325.512695,4328.589844,4353.974121,4280.641113,4279.230957,4261.794922,4259.358887,4257.179688,4422.94873,4393.205078,4373.205078,4417.05127
4320.128418,4261.922852,4333.589844,4329.358887,4364.871582,4289.615234,4283.205078,4266.025879,4262.179688,4249.743652,4420.512695,4397.05127,4381.153809,4426.538574
4322.179688,4260,4328.846191,4323.077148,4370.128418,4298.717773,4289.230957,4267.05127,4261.922852,4247.820313,4415.769043,4396.282227,4385.384766,4424.487305
4307.179688,4243.589844,4314.102539,4304.487305,4356.153809,4292.307617,4289.230957,4265.897461,4260.769043,4249.230957,4402.94873,4384.871582,4368.077148,4406.922852
4290.641113,4231.282227,4301.538574,4286.538574,4348.717773,4283.077148,4284.102539,4265.512695,4262.05127,4248.846191,4390.384766,4372.179688,4355.641113,4391.666504
4282.436035,4225.512695,4290.128418,4273.333496,4350.897461,4281.282227,4278.589844,4270.384766,4263.333496,4243.461426,4378.974121,4363.846191,4356.410156,4379.743652
4268.333496,4218.333496,4275.641113,4257.563965,4345.128418,4283.205078,4280.256348,4281.025879,4268.333496,4244.615234,4373.717773,4357.820313,4355.897461,4366.922852
4245.128418,4202.307617,4258.077148,4236.538574,4335.769043,4282.436035,4282.94873,4284.487305,4270.641113,4242.692383,4371.666504,4350,4340.512695,4351.025879
4230.512695,4184.743652,4244.743652,4225.384766,4333.717773,4280.897461,4281.025879,4275.641113,4264.743652,4233.461426,4365.384766,4342.436035,4314.487305,4330.641113
4222.307617,4187.05127,4236.666504,4228.333496,4327.05127,4281.025879,4279.487305,4273.461426,4260.769043,4226.538574,4358.077148,4332.307617,4308.846191,4318.077148
4214.871582,4190.769043,4236.153809,4228.205078,4317.820313,4278.077148,4282.563965,4287.563965,4268.589844,4226.666504,4369.358887,4329.743652,4327.563965,4319.358887
4218.333496,4175.897461,4246.282227,4224.102539,4319.743652,4275.256348,4283.077148,4301.538574,4281.666504,4235.256348,4392.179688,4349.102539,4337.563965,4324.743652
4228.205078,4170.897461,4261.025879,4231.666504,4324.743652,4276.794922,4284.230957,4303.717773,4289.871582,4252.05127,4401.922852,4371.153809,4336.410156,4332.563965
4237.820313,4192.692383,4271.282227,4250.384766,4328.974121,4281.025879,4291.025879,4305.384766,4297.692383,4270.128418,4414.487305,4380.384766,4352.307617,4345.897461
4252.563965,4212.05127,4281.538574,4268.717773,4335.512695,4281.282227,4290.641113,4305.384766,4305,4279.358887,4439.487305,4384.102539,4372.692383,4361.538574
4266.794922,4216.538574,4294.230957,4281.025879,4341.922852,4280.641113,4285.897461,4298.974121,4305.128418,4281.922852,4453.461426,4389.358887,4376.282227,4375.897461
4275.641113,4223.077148,4303.333496,4291.410156,4347.820313,4289.615234,4291.666504,4297.179688,4302.179688,4281.794922,4457.179688,4397.563965,4386.153809,4389.487305
4286.410156,4236.410156,4312.436035,4304.487305,4353.846191,4297.94873,4295.256348,4289.102539,4298.461426,4277.820313,4461.794922,4401.922852,4397.436035,4398.205078
4301.282227,4254.230957,4324.615234,4317.820313,4359.358887,4296.794922,4292.94873,4279.615234,4292.436035,4277.94873,4461.538574,4404.871582,4396.794922,4407.436035
4312.307617,4266.794922,4335.512695,4326.538574,4365.641113,4295.897461,4296.794922,4290.641113,4294.358887,4281.538574,4461.153809,4411.025879,4398.077148,4418.717773
4316.538574,4270.384766,4330.384766,4330.256348,4368.461426,4297.563965,4297.436035,4298.461426,4296.794922,4275.256348,4462.692383,4406.153809,4406.153809,4421.666504
4310.641113,4271.794922,4314.102539,4330.256348,4363.717773,4296.025879,4283.717773,4283.077148,4284.871582,4263.333496,4452.179688,4383.846191,4402.563965,4413.589844
